UniProt_ID,set
C2BR91,training
C4ALD3,training
C4RVF5,training
C5VUK2,training
C6KRK8,training
C6KRL2,training
D1MN85,training
D3NQB3,training
D3NQB4,test
D3YT56,training
D5MCV0,training
D6VPA0,training
D7SFI3,training
D9PTP5,training
E0R7K2,training
E0R7K7,training
E0R7L2,training
E1B6Q6,training
E1B6R3,training
E1B6T2,training
E1B6T7,test
E3W753,validation
E5QCF5,training
E7EM29,training
E9P8A3,training
F0IWS9,training
F3Y5R0,training
F5GU87,training
F5GUB1,training
F5GUI0,training
G1K0V8,training
G1K0W1,training
G2HK06,training
G4S185,training
G4S1A4,validation
G4SF15,training
G4SN18,training
G4SNB8,training
G4SP89,training
G4SRU7,validation
G5EBF4,training
G5EBF5,validation
G5EBJ3,training
G5EBJ8,validation
G5EBK8,training
G5EBP0,training
G5EBR1,training
G5EBR7,training
G5EBS1,test
G5EBT7,test
G5EBU2,validation
G5EBV3,test
G5EBW5,training
G5EBW7,training
G5EBY6,training
G5EBY9,training
G5EC10,test
G5EC13,training
G5EC18,training
G5EC22,training
G5EC48,training
G5EC50,training
G5EC67,training
G5EC71,training
G5EC96,training
G5EC97,training
G5ECA0,training
G5ECA2,training
G5ECA7,training
G5ECC9,training
G5ECE8,training
G5ECF8,training
G5ECG9,test
G5ECH0,validation
G5ECH7,training
G5ECK7,training
G5ECL7,test
G5ECR1,training
G5ECR6,test
G5ECS4,training
G5ECT0,validation
G5ECU1,training
G5ECU3,training
G5ECU4,training
G5ECY2,training
G5ECY7,training
G5ED07,training
G5ED25,training
G5ED31,training
G5ED56,training
G5ED60,training
G5ED76,test
G5EDB7,training
G5EDB8,training
G5EDC6,training
G5EDD8,training
G5EDE8,validation
G5EDF5,training
G5EDF7,training
G5EDI3,training
G5EDK1,training
G5EDM5,training
G5EDP0,training
G5EDP2,training
G5EDQ9,training
G5EDR3,training
G5EDR5,training
G5EDS8,test
G5EDV3,training
G5EDV6,training
G5EDV7,training
G5EDW8,validation
G5EDX2,training
G5EDY2,validation
G5EDZ2,training
G5EE11,training
G5EE34,training
G5EE38,training
G5EE40,training
G5EE42,training
G5EE48,training
G5EE64,training
G5EE65,training
G5EE67,test
G5EE74,training
G5EE80,training
G5EEA8,training
G5EEG7,training
G5EEH6,training
G5EEI8,training
G5EEM6,training
G5EEN1,training
G5EER4,training
G5EES9,training
G5EET2,training
G5EET3,test
G5EET5,training
G5EET8,test
G5EEV5,training
G5EEW6,training
G5EEX4,training
G5EEZ1,test
G5EEZ4,training
G5EF01,training
G5EF46,training
G5EF47,training
G5EF58,training
G5EF59,training
G5EF65,training
G5EF77,test
G5EF86,training
G5EF99,training
G5EFB5,training
G5EFC8,training
G5EFD7,training
G5EFF8,training
G5EFH4,training
G5EFI4,training
G5EFJ3,training
G5EFJ5,test
G5EFK4,training
G5EFL7,training
G5EFM9,training
G5EFN3,training
G5EFP5,training
G5EFQ1,test
G5EFQ6,training
G5EFS4,training
G5EFS5,test
G5EFV5,test
G5EFZ5,training
G5EG13,validation
G5EG18,validation
G5EG26,validation
G5EG37,training
G5EG43,training
G5EG47,training
G5EG50,training
G5EG59,training
G5EGA6,training
G5EGA7,test
G5EGB1,training
G5EGB3,training
G5EGD5,training
G5EGD7,training
G5EGG8,training
G5EGH2,validation
G5EGH7,training
G5EGJ4,validation
G5EGK8,training
G5EGL2,validation
G5EGP8,training
G5EGR8,training
G5EGS6,training
G5EGU1,training
G8JY24,training
G8XYY6,training
H1ZUV6,training
H1ZUV9,training
H2B4M6,validation
H2KMK6,training
H2KYE8,training
H2KYJ6,training
H2KYM1,training
O16466,training
H2KYP1,training
H2KYP8,training
H2KYQ5,training
H2KYQ8,training
H2KYT1,training
H2KYU8,training
H2KZ06,training
H2KZ41,training
H2KZ52,training
H2KZ57,training
H2KZ95,test
H2KZG6,training
H2KZL8,training
H2KZN7,training
H2KZY3,training
H2L010,training
H2L016,training
H2L037,training
H2L044,training
H2L0A9,training
H2L0D9,training
H2L0F2,training
H2L0J4,training
H2L0K0,training
H2L0M1,training
H2L0R7,training
H2L297,training
Q20471,training
I2HA94,test
P90925,training
I7EVJ8,training
Q9XWR6,training
I7EVL8,training
I7F488,training
I7F493,training
I7F498,training
I7FN62,training
I7FN66,training
I7FN77,training
I7FW32,training
I7FW36,training
I7FW40,training
I7FW43,training
I7FW46,validation
I7FXD3,training
I7FXD9,test
J7S151,test
K8ESJ6,training
K8F807,training
K8FDY8,training
K8FE09,training
L8E6I4,training
M1Z859,training
M1Z882,training
N1NSH4,training
N1NVC4,training
O01159,training
O01300,training
O01314,training
O01339,validation
O01422,training
O01426,training
O01442,training
O01460,training
O01464,training
O01479,training
O01498,training
O01530,training
O01531,training
O01532,training
O01542,training
O01549,training
O01581,validation
O01584,training
O01591,validation
O01593,training
O01606,test
O01607,training
O01615,training
O01659,test
O01685,training
O01755,test
O01803,training
O01806,training
O01813,training
O01814,training
O01854,training
O01878,training
O01884,training
O01887,training
O01889,training
O01902,training
O01908,validation
O01918,training
O01926,training
O01963,training
O01965,training
O01969,test
O01974,training
O02053,training
G5EFF1,training
O02089,training
O02097,validation
O02101,training
O02115,training
O02168,test
O02173,training
O02215,validation
O02219,training
O02220,training
O02266,training
O02285,validation
O02323,training
O02324,training
O02334,training
O02343,test
O02357,training
O02358,training
O02485,validation
O02621,validation
O02637,training
O02640,training
O02642,training
O02655,training
O16000,training
O16198,training
O16206,training
O16207,training
O16214,training
O16215,training
O16259,training
O16267,training
O16284,training
O16289,training
O16303,training
O16309,training
O16311,test
O16314,training
O16315,test
O16318,training
O16327,validation
O16338,training
O16368,training
O16369,test
O16406,test
O16454,training
O16457,training
O16486,training
O16582,training
O16619,training
O16659,training
O16660,training
O16689,training
O16746,training
O16784,training
O16785,training
O16898,training
O16927,training
O16948,training
O16991,training
O16999,training
O17004,training
O17005,training
O17065,training
O17066,training
O17071,test
O17099,test
O17151,training
O17155,training
O17190,training
O17192,training
O17214,training
O17245,training
O17264,test
O17287,training
O17369,training
O17373,training
O17396,training
O17577,training
O17586,validation
O17599,training
O17606,test
O17607,training
O17616,training
O17620,training
O17621,training
O17622,training
O17636,training
O17643,training
O17680,training
O17695,training
O17721,training
O17728,training
O17730,training
O17731,test
O17741,training
O17754,test
O17773,test
O17805,training
O17829,training
O17849,training
O17850,training
O17860,training
O17907,validation
O17914,training
O17915,test
O17919,test
O17949,training
O18000,training
O18054,training
O18076,training
O18125,training
O18131,training
O18154,training
O18155,training
O18156,training
O18183,training
O18197,training
O18211,training
O18213,training
O18216,training
O18229,validation
O18235,validation
O18246,training
O18282,training
O18307,training
V6CIV8,training
O44151,training
O44152,training
O44156,test
O44159,training
O44175,test
O44195,training
O44408,training
O44451,validation
O44481,training
O44482,training
O44483,training
O44501,training
O44507,test
O44509,training
O44510,training
O44549,training
O44555,validation
O44566,test
O44568,test
O44576,training
O44608,training
O44727,training
O44730,training
O44735,training
O44781,training
O44788,validation
O44797,training
O44871,training
O44923,training
O44962,training
O44992,training
O44995,training
O45011,training
O45012,training
O45069,training
O45078,validation
O45106,training
O45110,training
O45144,training
O45159,training
O45293,training
O45367,validation
O45379,training
O45394,training
O45405,training
O45417,training
O45418,training
O45419,training
O45431,validation
O45440,training
O45445,training
O45458,training
O45495,training
O45496,training
O45502,training
O45518,training
O45525,training
O45595,validation
O45666,training
O45667,training
O45686,training
O45687,training
O45707,training
O45709,training
O45734,training
O45757,training
O45781,training
O45812,test
O45814,training
O45815,training
O45869,training
O45903,training
O45904,test
O45933,training
O45988,training
O46009,test
O61219,test
O61235,training
O61518,training
O61709,training
O61710,training
O61741,training
O61743,training
O61790,training
O61791,training
O61792,test
O61817,validation
O61820,training
O61833,training
O61847,training
O61861,training
O61882,training
O61887,training
O61900,training
O61902,training
O61955,training
O61980,test
O62024,training
O62025,training
O62089,training
O62102,training
O62106,training
Q564Q1,validation
O62123,test
O62193,test
O62198,validation
O62214,training
O62216,training
O62220,training
O62246,test
O62252,training
O62271,training
O62272,training
O62277,training
O62303,training
O62316,validation
O62324,training
O62336,training
O62349,test
O62390,training
O62418,training
O62427,training
O62444,training
O62460,training
O62481,training
O62514,training
O62515,training
O62519,training
O76258,training
O76337,training
O76365,training
O76371,training
O76387,training
O76407,training
O76409,training
O76410,test
O76430,test
O76463,test
O76561,training
O76577,training
O76616,training
O76628,training
O76630,training
O76638,training
O76651,training
O76711,training
G5EEI4,training
O77081,training
P02513,training
P04970,validation
P05634,training
P10299,training
P10984,training
P12456,training
P17331,training
P17343,training
P18334,training
P21137,training
P22981,training
P25807,training
P27604,training
P27639,training
P28548,training
P29355,validation
P30625,test
P30627,validation
P30632,training
P30634,training
P30635,training
P30636,validation
P30643,training
P34254,training
P34255,training
P34264,training
P34274,training
P34280,training
P34283,test
P34284,training
P34286,training
P34313,training
P34345,training
P34346,training
P34349,training
P34368,training
P34370,training
P34379,training
P34384,training
P34388,training
P34398,training
P34412,training
P34419,training
P34429,training
P34438,training
P34439,training
P34452,training
P34460,test
P34471,training
P34473,training
P34475,validation
P34480,training
P34496,training
P34497,training
P34508,training
P34524,training
P34528,test
P34541,training
P34556,training
P34560,training
P34567,test
P34575,training
P34580,training
P34604,training
P34623,training
P34624,training
P34630,validation
P34649,training
P34650,training
P34657,validation
P34666,training
P34676,training
P34685,test
P34686,training
P34692,test
P34705,training
P34748,test
P35602,training
P35603,training
P36573,test
P36609,training
P39745,training
P41847,training
P41884,test
P41931,training
P41932,training
P41937,training
P41938,training
P41949,validation
P41992,training
P41998,training
P42000,test
P42168,training
P43507,training
P43508,training
P43509,training
P45969,training
P45971,training
P46502,validation
P46554,training
P46558,training
P46559,test
P46563,training
P46577,training
P46769,test
P48376,training
P48458,validation
P48727,training
P49404,training
P49594,training
P49596,training
P49958,training
P50305,training
P50464,training
P51485,training
P51875,training
P52009,training
P52010,training
P52011,training
P52013,training
P52014,training
P52015,training
P52017,training
P52018,training
P52057,training
P52274,validation
P52478,training
P52715,training
P52717,training
P52874,training
P53013,training
P53016,training
P53489,training
P53588,training
P53589,validation
P53596,training
P53806,training
P54216,training
P54412,training
P54688,test
P54871,training
P55956,validation
P58798,training
P80361,training
P90762,test
P90779,training
P90780,training
P90781,validation
P90783,test
P90792,training
P90838,training
P90850,training
P90861,validation
P90868,test
P90879,training
P90902,validation
P90916,training
P90917,training
P90991,validation
P90994,validation
P91001,training
P91020,training
P91021,test
P91025,training
P91055,training
P91125,training
P91134,training
P91148,training
P91154,training
P91179,training
P91180,training
P91182,test
P91189,training
P91198,test
P91230,training
P91252,training
P91253,training
P91268,training
P91277,training
P91283,test
P91302,validation
P91306,validation
P91308,training
P91321,training
P91343,training
P91369,test
P91398,test
P91408,training
P91409,training
P91416,training
P91420,training
P91424,training
P91427,training
P91429,validation
P91430,training
P91455,test
P91463,training
P91477,training
P91478,training
P91500,training
P91501,training
P91515,training
P91522,training
P91529,training
P91532,training
P91544,training
P91567,training
Q8I4F7,training
P91829,training
P91851,test
P91856,validation
P91867,training
P91910,test
P91917,test
P91989,training
P91991,training
P91997,training
P91998,training
P92005,training
P92018,training
P92020,training
P92172,training
P98080,training
Q00P41,training
Q02332,training
Q03206,training
Q03615,training
Q04908,training
Q05062,training
Q067X9,validation
Q09235,training
Q09238,training
Q09250,training
Q09253,training
Q09261,training
Q09270,training
Q09271,training
Q09278,training
Q09293,training
Q09297,training
Q09305,training
Q09307,training
Q09309,training
Q09318,training
Q09321,training
Q09341,training
Q09346,validation
Q09347,training
Q09359,training
Q09362,training
Q09365,training
Q09387,training
Q09389,test
Q09407,training
Q09415,training
Q09440,training
Q09444,training
Q09451,training
Q09454,validation
Q09464,training
Q09474,training
Q09486,training
Q09490,training
Q09496,training
Q09497,validation
Q09504,validation
Q09506,training
Q09509,validation
Q09524,training
Q09526,training
Q09535,training
Q09545,training
Q09551,training
Q09567,validation
Q09583,training
Q09584,training
Q09596,training
Q09603,training
Q09607,training
Q09611,training
Q09644,training
Q09646,training
Q09657,training
Q09969,training
Q09973,training
Q09974,training
Q09979,test
Q0G826,training
Q0G839,training
Q10011,training
Q10051,validation
Q10129,test
Q10454,training
Q10457,training
Q10462,training
Q10657,training
Q10660,training
Q10664,training
Q10905,training
Q10920,training
Q10931,training
Q10943,validation
Q10944,training
Q10950,training
Q11067,validation
Q11077,training
Q11183,test
Q11185,training
Q11189,test
Q17334,test
Q17335,validation
Q17345,training
Q17352,training
Q17361,training
Q17409,training
Q17410,training
Q17413,training
Q17427,training
Q17432,training
Q17438,training
Q17446,validation
Q17452,training
Q17510,training
Q17514,test
Q17525,training
Q17527,training
Q17533,training
Q17543,training
Q17554,training
Q17558,training
Q17568,training
Q17569,training
Q17572,training
Q17575,training
Q17585,test
Q17633,training
Q17636,training
Q17662,training
Q17680,training
Q17687,validation
Q17688,test
Q17692,training
Q17749,training
Q17761,training
Q17764,training
Q17778,training
Q17780,test
Q17819,training
Q17820,training
Q17829,training
Q17848,training
Q17872,test
Q17880,training
Q17883,test
Q17896,training
Q17949,test
Q17956,test
Q17957,training
Q17962,training
Q17963,training
Q17964,validation
Q17993,training
Q18037,training
Q18040,training
Q18075,training
Q18086,training
Q18107,training
Q18122,training
Q18142,training
Q18161,training
Q18167,training
Q18194,training
Q18195,training
Q18197,training
Q18212,training
Q18218,training
Q18224,training
Q18227,validation
Q18242,training
Q18246,training
Q18257,training
Q18258,training
Q18268,test
Q18279,training
Q18310,training
Q18339,training
Q18347,training
Q18359,training
Q18403,training
Q18404,training
Q18407,training
Q18445,training
Q18465,training
Q18483,training
Q18492,test
Q18493,training
Q18503,training
Q18511,training
Q18524,training
Q18547,training
Q18553,training
Q18567,training
Q18587,test
Q18596,training
Q18607,training
Q18615,training
Q18639,validation
Q18645,training
Q18674,training
Q18678,training
Q18680,training
Q18705,training
Q18709,training
Q18724,training
Q18738,training
Q18739,training
Q18758,training
Q18773,training
Q18784,training
Q18787,training
Q18793,training
Q18801,training
Q18813,training
Q18817,training
Q18821,test
Q18822,test
Q18877,validation
Q18888,validation
Q18910,training
Q18921,test
Q18924,validation
Q18925,training
Q18940,training
Q18946,training
Q18953,training
Q18956,training
Q18964,training
Q18966,training
Q18967,training
Q18969,training
Q18973,training
Q18974,training
Q18986,training
Q19000,training
Q19007,training
Q19030,training
Q19058,training
Q19069,training
Q19076,validation
Q19089,validation
Q19123,training
Q19174,training
Q19185,training
Q19202,training
Q19211,training
Q19229,validation
Q19230,training
Q19246,training
Q19257,training
Q19264,training
Q19306,training
Q19324,training
Q19341,training
Q19360,training
Q19366,training
Q19375,validation
Q19388,training
Q19416,test
Q19420,training
Q19421,training
Q19431,training
Q19434,training
Q19436,training
Q19437,training
Q19440,training
Q19461,test
Q19490,training
Q19519,validation
Q19536,training
Q19564,training
Q19568,training
Q19577,training
Q19626,validation
Q19647,training
Q19660,training
Q19661,training
Q19683,training
Q19684,training
Q19685,training
Q19705,test
Q19706,training
Q19709,training
Q19752,training
Q19759,training
Q19774,training
Q19775,training
Q19781,training
Q19788,training
Q19824,training
Q19826,training
Q19830,training
Q19832,test
Q19864,training
Q19891,training
Q19905,training
Q19906,validation
Q19965,training
Q19986,training
Q1EPL7,training
Q1XFZ3,training
Q1ZXR8,test
Q20008,training
Q20024,training
Q20034,validation
Q20048,training
Q20049,training
Q20057,training
Q20058,training
Q20068,training
Q20070,training
Q20075,validation
Q20084,training
Q20100,training
Q20128,validation
Q20140,training
Q20166,training
Q20173,training
Q20180,training
Q20184,training
Q20197,training
Q20203,training
Q20220,validation
Q20221,training
Q20223,training
Q20224,training
Q20229,training
Q20252,training
Q20264,test
Q20287,training
Q20340,training
Q20363,test
Q20376,training
Q20390,training
Q20436,test
Q20476,training
Q20489,training
Q20496,training
Q20507,training
Q20519,training
Q20520,test
Q20521,training
Q20553,test
Q20574,test
Q20585,training
Q20590,training
Q20636,training
Q20643,training
Q20675,training
Q20697,training
Q20719,training
Q20736,training
Q20751,training
Q20752,training
Q20758,test
Q20769,training
Q20770,training
Q20772,training
Q20774,training
Q20780,training
Q20788,training
Q20819,training
Q20848,validation
Q20883,training
Q20893,training
Q20932,training
Q20936,training
Q20938,training
Q20939,training
Q20950,training
Q20959,training
Q20964,validation
Q20965,training
Q20967,training
Q20968,training
Q20974,training
Q20990,training
Q21012,training
Q21018,training
Q21032,training
Q21037,training
Q21069,training
Q21080,training
Q21083,training
Q21122,training
Q21131,training
Q21146,training
Q21174,validation
Q21193,training
Q21199,test
Q21215,training
Q21217,training
Q21230,validation
Q21233,training
Q21241,training
Q21243,training
Q21244,training
Q21246,training
Q21253,training
Q21267,training
Q21274,training
Q21275,test
Q21276,training
Q21307,training
Q21322,test
Q21327,validation
Q21342,training
Q21355,validation
Q21365,training
Q21392,training
Q21428,training
Q21429,training
Q21465,training
Q21481,training
Q21484,validation
Q21501,training
Q21503,training
Q21521,training
Q21526,training
Q21541,training
Q21549,training
Q21555,training
Q21557,test
Q21559,training
Q21568,training
Q21589,training
Q21601,validation
Q21618,training
Q21633,training
Q21655,training
Q21693,training
Q21713,training
Q21735,training
Q21738,training
Q21743,validation
Q21748,validation
Q21763,training
Q21775,validation
Q21799,training
Q21801,training
Q21817,training
Q21826,validation
Q21832,training
Q21861,test
Q21899,training
Q21900,training
Q21910,validation
Q21918,training
Q21929,training
Q21952,training
Q21961,training
Q21966,training
Q22004,training
Q22009,training
Q22013,test
Q22018,training
Q22019,training
Q22020,training
Q22021,training
Q22031,training
Q22038,training
Q22039,validation
Q22046,validation
Q22053,validation
Q22071,training
Q22100,training
Q22111,test
Q22125,training
Q22128,training
Q22133,training
Q22144,test
Q22146,training
Q22158,training
Q22170,training
Q22171,validation
Q22215,training
Q22253,training
Q22279,training
Q22306,training
Q22322,validation
Q22323,training
Q22341,training
Q22347,training
Q22352,training
Q22392,validation
Q22396,training
Q22419,training
Q22453,training
Q22469,test
Q22470,training
Q22493,training
Q22494,training
Q22591,test
Q22592,training
Q22616,training
Q22618,training
Q22619,training
Q22633,training
Q22640,training
Q22660,training
Q22662,training
Q22710,training
Q22743,validation
Q22749,training
Q22757,training
Q22781,training
Q22800,training
Q22814,training
Q22824,training
Q22825,training
Q22857,test
Q22882,training
Q22885,training
Q22888,training
Q22915,training
Q22918,test
Q22945,test
Q22963,validation
Q22966,training
Q22968,training
Q22993,training
Q23090,training
Q23091,training
Q23092,training
Q23119,test
Q23121,test
Q23126,training
Q23155,training
Q23164,training
Q23202,test
Q23206,training
Q23227,test
Q23232,training
Q23237,training
Q23256,training
Q23295,training
Q23320,training
Q23338,training
Q23342,training
Q23383,training
Q23400,training
Q23402,training
Q23403,training
Q23414,training
Q23445,validation
Q23449,training
Q23459,training
Q23493,training
Q23519,validation
Q23526,training
Q23536,training
Q23565,training
Q23570,training
Q23588,training
Q23604,training
Q23623,training
Q23624,training
Q23640,training
Q23643,validation
Q23644,training
Q23645,training
Q23679,training
Q27470,training
Q27475,validation
Q27487,training
Q27488,training
Q27500,training
Q27501,training
Q27504,training
Q27522,training
Q27535,test
Q27536,training
Q27539,training
Q27888,training
Q27GQ5,validation
Q27GU2,test
Q2AAB5,training
Q2AAC0,training
Q2EEN9,training
Q2HQJ8,training
Q2HQK2,training
Q2HQK3,training
Q2HQL4,training
Q2L6U9,training
Q2L6W9,training
Q2PJ97,training
Q2V4S9,training
Q2V4U3,training
Q2WF62,training
Q2XMY4,training
Q2XMY7,training
Q304E6,validation
Q3HKC4,training
Q3LFN1,training
Q3S1L4,validation
Q3V5I5,training
Q3V5I7,training
Q3V5J2,training
Q3Y3Z9,training
Q4A1S8,training
Q4PIV5,validation
Q4PJ11,training
Q4R111,training
Q4R163,training
Q4R164,training
Q4R165,training
Q4TTA9,training
Q4W4Z2,training
Q4W503,training
Q4W528,test
Q4W5S9,training
Q4W5T0,training
Q565C3,training
Q599F6,training
Q5CZ41,training
Q86MP3,training
Q5DX36,training
Q5DX43,test
Q5FC37,test
Q5FC47,training
Q5VKT6,training
Q5WRN3,test
Q5WRR4,training
Q5ZR75,training
Q5ZR76,training
Q60F71,training
Q688C0,training
Q69Z13,training
Q6A1T5,training
Q6A576,training
Q6AHP8,training
Q6AHQ9,training
Q6AW09,training
Q6BEV8,training
Q6EZG4,training
Q6EZG8,training
Q6QUR0,training
Q7JM90,training
Q7JMA9,training
Q7JMS5,training
Q7JP82,training
Q7JQD2,training
Q7KPW7,test
Q7KX00,training
Q7YTG7,training
Q7YTG9,training
Q7YTI4,test
Q7YTJ3,validation
Q7YTL5,training
Q7YWL9,training
Q7YWN1,validation
Q7YWP5,training
Q7YWP8,training
Q7YWQ8,training
Q7YWR7,validation
Q7YWW8,training
Q7YWY5,training
Q7YX00,validation
Q7YX39,training
Q7YX44,training
Q7YX57,training
Q7YX61,training
Q7YXC4,test
Q21187,training
Q7Z297,validation
Q7Z2A5,training
Q86B36,training
Q86D20,training
Q86FN3,training
Q86GC1,training
Q86MG7,training
Q86MJ6,training
Q86MP4,test
Q23552,training
Q86NC2,training
Q86NE0,validation
Q86S40,training
Q8I111,training
Q8I4A5,training
Q8I4G9,training
Q8I4H6,training
Q8I4I9,training
Q8IA57,training
Q8IA74,training
Q8IA79,training
Q8IG34,training
Q8IG39,training
Q8IG68,training
Q8ITX4,training
Q8ITY4,training
Q8ITY6,training
Q8ITY9,training
Q8MNR9,training
Q8MNT7,training
Q8MNT9,test
Q8MNU7,training
Q8MNY0,training
Q8MPX3,training
Q8MQ13,test
Q8MQ99,training
Q8MQB4,training
Q8MXD9,training
Q8MXH7,training
Q8MXJ7,training
Q8MXQ7,training
Q8MXS1,training
Q8MXS6,training
Q8MXS8,training
Q8MXT1,training
Q8MYM6,validation
Q8MYM8,training
Q8T3G2,training
Q8T7Z3,training
Q8T874,training
Q8TA47,training
Q8TA83,training
Q8WQ99,training
Q8WQA1,training
Q8WQA4,training
Q8WQB0,training
Q8WQB4,validation
Q8WQD8,training
Q8WR43,training
Q8WSN2,training
Q8WSW2,training
Q8WSZ8,training
Q8WTL2,training
Q8WTM3,validation
Q8WTM6,training
Q93167,training
Q93168,test
Q93169,training
Q93170,training
Q93235,training
Q93338,validation
Q93341,training
Q93353,training
Q93379,training
Q93425,training
Q93454,training
Q93459,training
Q93535,training
Q93544,training
Q93545,training
Q93565,training
Q93568,training
Q93571,training
Q93573,training
Q93592,training
Q93594,training
Q93619,training
Q93644,training
Q93694,training
Q93695,training
Q93697,training
Q93698,training
Q93714,training
Q93716,training
Q93758,training
Q93759,training
Q93761,validation
Q93795,training
Q93830,training
Q93832,training
Q93847,training
Q93873,training
Q93895,validation
Q93934,validation
Q93968,training
Q94053,test
Q94131,test
Q94148,training
Q94173,test
Q94241,training
Q94261,validation
Q94312,validation
Q94360,training
Q94401,training
Q94416,training
Q94417,training
Q95005,training
Q95008,training
Q95017,training
Q95NM6,training
Q95NU5,training
Q95PW5,training
Q95PW9,training
Q95PY4,training
Q95PZ8,training
Q95Q05,training
Q95Q11,training
Q95Q17,test
Q95Q57,training
Q95Q68,validation
Q95QB6,training
Q95QD6,training
Q95QG1,training
Q95QG7,training
Q95QH4,test
Q95QI6,training
Q95QL2,training
Q95QL3,training
Q95QQ2,training
Q95QR3,training
Q95QS2,training
Q95QS4,validation
Q95QS6,training
Q95QU0,training
Q95QU1,training
Q95QV8,training
Q95QZ3,validation
Q95QZ6,validation
Q95R07,validation
Q95X39,training
Q95X41,training
Q95X44,training
Q95X61,training
Q95X83,training
Q95XD0,training
Q95XG9,training
Q95XI6,training
Q95XK5,training
Q95XL9,training
Q95XM5,training
Q95XN1,training
Q95XR0,training
Q95XS2,training
Q95XX0,training
Q95XX7,validation
Q95XY8,test
Q95Y13,training
Q95Y25,training
Q95Y26,training
Q95Y35,training
Q95Y67,training
Q95Y71,training
Q95Y79,training
Q95Y83,training
Q95Y96,training
Q95Y97,training
Q95YA4,training
Q95YB2,training
Q95YD1,training
Q95YD5,test
Q95YD8,training
Q95YF3,training
Q95ZI6,training
Q95ZJ9,test
Q95ZN7,training
Q95ZS5,training
Q95ZT8,training
Q95ZW9,training
Q965G5,training
Q965I8,training
Q965J1,training
Q965N4,training
Q965S8,training
Q965T2,validation
Q965T4,training
Q965V9,validation
Q965W1,training
Q965X1,training
Q965Y1,training
Q965Z3,training
Q966C7,test
Q966F6,training
Q966G0,test
Q966I8,training
Q966L2,training
Q966L4,training
Q966M2,training
Q966M5,training
Q966M6,training
Q967F1,training
Q9BI82,test
Q9BI88,training
Q9BI89,training
Q9BIB3,training
Q9BIB4,training
Q9BJL5,training
Q9BKP7,training
Q9BKQ5,training
Q9BKR0,training
Q9BKS1,test
Q9BKS2,training
Q9BKU3,training
Q9BL18,training
Q9BL28,validation
Q9BL34,training
Q9BL35,training
Q9BL36,training
Q9BL46,training
Q9BL48,training
Q9BL56,training
Q9BL60,training
Q9BL61,training
Q9BL64,test
Q9BL73,training
Q9BL79,training
Q9BL81,training
Q9BL83,test
Q9BL86,training
Q9BL94,training
Q9BL96,training
Q9BL99,test
Q9BLB6,training
Q9BPP1,training
Q9GNP5,training
Q9GR61,training
Q9GRE9,training
Q9GRV1,training
Q9GRZ1,training
Q9GUC9,training
Q9GUF2,training
Q9GUI8,training
Q9GYH9,training
Q9GYI2,validation
Q9GYJ1,training
Q9GYJ9,training
Q9GYK4,training
Q9GYL7,training
Q9GYL8,training
Q9GYP1,training
Q9GYQ8,training
Q9GYR2,test
Q9GYT2,training
Q9GYT3,training
Q9GYU1,validation
Q9GZD0,training
Q9GZE9,training
Q9GZF3,test
Q9GZG0,training
Q9GZH2,validation
Q9N2U6,training
Q9N337,training
Q9N359,training
Q9N361,training
Q9N362,training
Q9N363,validation
Q9N369,training
Q9N370,training
Q9N372,training
Q9N384,training
Q9N392,training
Q9N393,training
Q9N3B9,training
Q9N3C8,training
Q9N3C9,training
Q9N3D3,training
Q9N3E0,training
Q9N3F0,validation
Q9N3F1,training
Q9N3F2,training
Q9N3F3,training
Q9N3F7,training
Q9N3F8,training
Q9N3L4,training
Q9N3Q8,test
Q9N3S8,training
Q9N3T2,validation
Q9N3U9,training
Q9N3V9,training
Q9N3W5,training
Q9N3X0,training
Q9N3Y1,training
Q9N3Z3,training
Q9N425,training
Q9N430,training
Q9N489,training
Q9N4A5,training
Q9N4A7,training
Q9N4D9,training
Q9N4E1,test
Q9N4E2,training
Q9N4E9,training
Q9N4F4,training
Q9N4H6,training
Q9N4I0,training
Q9N4I1,training
Q9N4I5,training
Q9N4M0,training
Q9N4N4,test
Q9N4P2,training
Q9N4P9,training
Q9N4S0,training
Q9N4U0,training
Q9N4V3,training
Q9N4X8,validation
Q9N4Z0,training
Q9N4Z2,training
Q9N538,training
Q9N566,training
Q9N574,training
Q9N575,training
Q9N580,test
Q9N588,training
Q9N590,training
Q9N592,training
Q9N599,test
Q9N5A0,validation
Q9N5A1,training
Q9N5A2,training
Q9N5B3,training
Q9N5G1,training
Q9N5G3,training
Q9N5G4,training
Q9N5J3,validation
Q9N5K2,training
Q9N5M1,training
Q9N5S7,training
Q9N5W9,training
Q9N5X0,training
Q9NA26,training
K8ESC5,training
Q9NA33,training
Q9NA57,training
Q9NA78,training
Q9NA81,training
Q9NA98,validation
Q9NAA7,training
Q9NAB0,training
Q9NAB1,training
Q9NAB2,training
Q9NAB3,training
Q9NAB4,training
Q9NAF4,training
Q9NAI5,training
Q9NAK4,training
Q9NAK5,training
Q9NAK6,training
Q9NAM7,training
Q9NAN2,training
Q9NAN7,training
Q9NAP0,training
Q9NAP3,training
Q9NAP7,test
Q9NAP9,training
Q9NDC9,training
Q9NEI6,training
Q9NEQ5,training
Q9NEQ8,training
Q9NES8,training
Q9NES9,training
Q9NEU3,training
Q9NEX2,training
Q9NGT3,validation
Q9NHC3,training
Q9NHZ6,training
Q9TVL3,training
